moduleCode,title,semesters,moduleCredit,prereqTree
AR4421,Architecture Internship Programme,"1,2",8,"{'nOf': [2, ['AR3101:D', 'AR3102:D']]}"
AR4955,Topics in Architectural Design,1,4,
AR5011,Research Methodology,"1,2",4,
AR5121,Special Topics in Technology,1,4,
AR5221,Contemporary Theories,"1,2",4,
AR5321,Advanced Architectural Integration,"1,2",4,
AR5323,Well & Green Built Environment,"1,2",4,
AR5423,Architectural Practice,"1,2",4,
AR5601,Urban Design Theory and Praxis,"1,2",4,
AR5666,Industrial Attachment,"1,2",4,
AR5770,Graduate Seminar,1,4,
AR5801,Options Design Research Studio 1,"1,2",8,
AR5802,Options Design Research Studio 2,"1,2",8,
AR5803,Architectural & Technology Design 1,1,8,
AR5804,Architectural & Technology Design 2,2,8,
AR5805,Advanced Architecture Studio,1,8,
AR5806,Architectural Design Research Report,"1,2",4,
AR5807,Architectural Design Thesis,"1,2",20,
AR5808,Final Design Project,2,20,
AR5951A,Topics in History and Theory of Architecture 1,1,4,
AR5951B,Topics in History & Theory of Architecture 2,1,4,
AR5951C,Topics in History and Theory of Architecture 3,1,4,
AR5951D,Topics in History & Theory of Architecture 4,1,4,
AR5951E,Topics in History & Theory of Architecture 5,1,4,
AR5952A,Topics in Urbanism 1,1,4,
AR5952B,Topics in Urbanism 2,1,4,
AR5952C,Topics in Urbanism 3,1,4,
AR5952D,Topics in Urbanism 4,1,4,
AR5952E,Topics in Urbanism 5,1,4,
AR5952F,Topics in Urbanism 6,1,4,
AR5952G,Topics in Urbanism 7,1,4,
AR5953A,Topics in Design Technology 1,1,4,
AR5953B,Topics in Design Technology 2,1,4,
AR5953C,Topics in Design Technology 3,1,4,
AR5953D,Topics in Design Technology 4,1,4,
AR5955,Topics in Research by Design,1,4,
AR5955A,Topics in Research by Design 1,2,4,
AR5955B,Topics in Research by Design 2,2,4,
AR5955C,Topics in Research by Design 3,2,4,
AR5955F,Topics in Research by Design 6,1,4,
AR5955G,Topics in Research by Design 7,1,4,
AR5955H,Topics in Research by Design 8,1,4,
AR5956A,Topics in Design and Built Environment 1,"1,2",4,
AR5956B,Topics in Design and Built Environment 2,"1,2",4,
AR5956C,Topics in Design and Built Environment 3,"1,2",4,
AR5956D,Topics in Design and Built Environment 4,1,4,
AR5956E,Topics in Design and Built Environment 5,"1,2",4,
AR5957H,Topics in History and Theory of Architecture 8,2,4,
AR5957I,Topics in History and Theory of Architecture 9,2,4,
AR5957J,Topics in History and Theory of Architecture 10,2,4,
AR5957K,Topics in History and Theory of Architecture 11,2,4,
AR5957L,Topics in History and Theory of Architecture 12,2,4,
AR5958D,Topics in Urbanism 4,2,4,
AR5958E,Topics in Urbanism 5,2,4,
AR5958F,Topics in Urbanism 6,2,4,
AR5958G,Topics in Urbanism 7,2,4,
AR5958H,Topics in Urbanism 8,2,4,
AR5958I,Topics in Urbanism 9,2,4,
AR5958J,Topics in Urbanism 10,2,4,
AR5958K,Topics in Urbanism 11,2,4,
AR5958L,Topics in Urbanism 12,2,4,
AR5959,Topics in Design Technology,2,4,
AR5959D,Topics in Design Technology 4,2,4,
AR5959E,Topics in Design Technology 5,2,4,
AR5959F,Topics in Design Technology 6,2,4,
AR5959G,Topics in Design Technology 7,2,4,
AR5959H,Topics in Design Technology 8,2,4,
AR6770,Phd Seminar,1,4,
ASP1201CH,H3 Humanities & Soc Sci Research Prog,"2,3,4",4,
ASP1201EN,H3 Humanities & Soc Sci Research Prog,"2,3,4",4,
ASP1201GE,H3 Humanities & Soc Sci Research Prog,"2,3,4",4,
ASP1201HY,H3 Humanities & Soc Sci Research Prog,"2,3,4",4,
ASP1201MS,H3 Humanities & Soc Sci Research Prog,"2,3,4",4,
AUD5101,Acoustics,1,2,
AUD5102,Anatomy & Physiology,1,2,
AUD5103,Pathologies of the Auditory System,1,2,
AUD5104,Perception of Sound & Speech,1,2,
AUD5105,Hearing Devices and Rehabilitation A - Part 1,1,3,
AUD5106,Clinical Audiology A - Part 1,1,3,
AUD5107,Paediatric Audiology A - Part 1,1,3,
AUD5108,Electrophysiological Assessment A,2,2,
AUD5109,Professional Practice Issues & Community Audiology,1,2,
AUD5110,Vestibular Assessment and Management A,2,3,
AUD5111,Hearing Devices & Rehabilitation A - Part 2,2,3,
AUD5112,Clinical Audiology A - Part 2,2,4,
AUD5113,Paediatric Audiology A - Part 2,2,4,
AUD5115,Experimental Design & Statistics,2,3,
BAA6001A,Empirical Research in Accounting I,2,2,
BAA6001B,The Economics of Accounting,1,2,
BBP6791,Research Seminar in International Business,1,2,
BBP6794,Seminar in Innovation and Entrepreneurship,1,2,
BDC6112,Stochastic Processes I,1,4,
BDC6302,Discrete Optimization and Algorithms,2,4,
BDC6303,Queues and Stochastic Networks,2,4,
BHD4001,Honours Dissertation,"1,2",12,
BI3001A,Business Internship I,"1,2",4,
BI3001B,Business Internship I,1,4,
BI3001C,Business Internship I,1,4,
BI3002A,Business Internship II,1,8,
BI3002B,Business Internship II,1,8,
BI3003,Work Experience Internship,"1,2,3,4",4,
BI3003A,Work Experience Internship,"1,2",4,
BI3003B,Work Experience Internship,"1,2",4,
BI3003C,Work Experience Internship,"1,2",4,
BI3003D,Work Experience Internship,1,4,
BI3704A,Business Internship I,"1,2,3,4",4,
BI3704B,Business Internship I,"1,2,3,4",4,
BI3704C,Business Internship I,"1,2,3,4",4,
BI3704D,Business Internship I,"1,2,3,4",4,
BI3704R,Business Internship I,"1,2,3,4",4,
BI3708A,Business Internship II,"1,2,3,4",8,
BI3708B,Business Internship II,"1,2,3,4",8,
BI3708R,Business Internship II,"1,2,3,4",8,
BI3712A,Business Internship III,"1,2,3,4",12,
BI3712B,Business Internship III,"1,2,3,4",12,
BI3712R,Business Internship III,"1,2,3,4",12,
BIS3001,Independent Study Course in Business,"1,2",4,
BIS3001A,Independent Study Course in Business,1,2,
BIS3751,Independent Study in Business,2,4,
BL5102,Environmental Science,"1,2",4,
BL5198,Graduate Seminar Course in Biological Sciences,"1,2",4,
BL5199,Research Project in Conservation and Nature-based Climate Solutions,"1,2,3,4",12,
BL5201,Structural Biology And Proteomics,1,4,
BL5202A,Biophysical Methods in Life Sciences,2,4,
BL5203,Molecular Interactions in Chromatin,2,4,
BL5207A,Topics In Developmental Biology,1,4,
BL5210,Biogeography,2,2,
BL5213,Protein Design & Engineering,2,4,
BL5214,Advanced Proteins Nmr,1,4,
BL5215,Macromolecular X-Ray Crystallography,1,4,
BL5216,Advanced Genetics and Genome Sciences,2,4,
BL5217,Population Genomics and Phylogenomics,1,4,
BL5218,Directed Studies in Behavioural Ecology,2,4,
BL5220,Advanced Animal Development,2,4,
BL5221,Plant and Microbial Development,2,4,
BL5222,Cellular Mechanisms,1,4,
BL5223,Advanced Molecular Genetics,1,4,
BL5224,Signalling Mechanisms in Cancers and Metabolic Diseases,2,4,
BL5225,Marine Conservation,2,4,
BL5228,Advances in Cell and Molecular Biology,2,2,
BL5230,Biological Invasions,1,4,
BL5232,Introduction to Bioimaging,2,4,
BL5232A,Practical Bioimaging A: Light & Electron Microscopy,3,4,BL5232
BL5232C,Practical Bioimaging C: Hands-on Microscopy,3,2,BL5232
BL5233,Data Analysis for Conservation Biology with R,"1,2",4,
BL5235,Advanced Optics for Microscopy,3,2,BL5232:D
BL5236,Introduction to Electron Microscopy for Life Sciences,1,2,
BL5237,"Computational Biology: Sequences, Structures, Functions",1,2,
BL5238,Infectious Disease Modelling,2,2,
BL5239,Science and Communication,1,4,
BL5240,Skills for Research Survival and Excellence,3,4,
BL5299,Internship in Conservation and Nature-based Climate Solutions,"1,2,3,4",12,
BL5301,Conservation Problems and Practice,1,4,
BL5302,Climate Change Solutions,2,4,
BL5311,Freshwater Conservation,1,4,
BL5312,Natural History Collections and Conservation,2,4,
BL5313,Food Security and Sustainability,2,4,
BL5322,Field Techniques in Biological Conservation,1,4,
BL5323,Spatial modelling for environmental sustainability,2,4,
BL5324,Ecological Perspectives on Global Change,1,4,
BL5331,Conservation Governance and Climate Solutions,2,4,
BL5601,Case Studies in Biotechnology,"1,2",4,
BL5602,Genetic Engineering in Biotechnology,1,4,
BL5611,Advanced and Current Topics in Drug Development,2,4,
BL5623,Infectious Diseases and Host-Pathogen Interactions,2,4,
BL5631,Practical Analysis of Genomic Data using R,1,4,
BL5632,Genomic Data Science in the Cloud,2,4,
BL5661,Urban Agriculture and Crop Biotechnology,1,4,
BL5662,Biotechnology in Aquaculture,2,4,
BL5699,Capstone Project in Biotechnology,"1,2,3,4",8,
BLD3002,CEOs as Leaders,1,2,
BLD3003,Personal Leadership Development,1,2,
BLD3004,Topics in Leadership Development,1,4,
BMA5001,Managerial Economics,"1,2",4,
BMA5002,Analytics For Managers,2,4,
BMA5003,Financial Accounting,1,4,
BMA5008,Financial Management,1,4,
BMA5009,Marketing Strategy,2,4,
BMA5013,Corporate Strategy,"1,2,3",4,
BMA5016,Leading with Impact,"1,2",4,
BMA5017,Managerial Operations and Analytics,"1,2",4,
BMA5102,Legal Issues in Business,3,4,
BMA5104,Global Strategic Management,1,4,
BMA5112,Asian Business Environments,2,4,
BMA5112A,Topics in Asian Business Environment,2,2,
BMA5118,Special Topics in Strategy and Policy,2,2,
BMA5118A,Special Topics in Strategy and Policy: Sustainability Strategy,2,4,
BMA5128,Venture Capital,3,4,
BMA5129,Leading with Strategy in Digital Firms,4,4,
BMA5134,Entrepreneurial Management,2,4,
BMA5134A,Topic in Entrepreneurial Management,2,2,
BMA5136,A Consulting Toolkit For Strategic Decision-Making,4,4,
BMA5137,Strategic Leadership,4,4,
BMA5138,Digital Business Transformation,2,4,
BMA5236,Global Operations Strategy,2,4,
BMA5271,"Leadership in Supply Chain, Operations & Sustainability",3,4,
BMA5275,Analytics in Managerial Economics,4,4,
BMA5277,Managing Geopolitics in International Business,4,4,
BMA5302,Investment Analysis and Management,2,4,
BMA5302A,Investment Analysis & Management,2,2,
BMA5303,Financial Statement Analysis,3,4,
BMA5309,Fund Management,4,4,
BMA5313,Venture Capital and Private Equity,1,4,
BMA5313A,Valuation and Mergers & Acquisitions,2,4,
BMA5313C,Topics in Valuation and Mergers & Acquisitions,2,2,
BMA5313E,Topics in Private Equity,3,2,
BMA5314,Entrepreneurial Finance,1,4,
BMA5334,Technological Disruptions in Finance,4,4,
BMA5335,Digital Assets and Blockchain in Finance,1,4,
BMA5337,Sustainability Reporting and Analysis,2,4,
BMA5337A,Topic in Sustainability Reporting and Analysis,2,2,
BMA5338,"Sustainable Web3, Generative AI and Metaverse",4,4,
BMA5404,Entrepreneurship & Innovation,1,4,
BMA5406,Negotiations and Conflict Management,1,4,
BMA5411,Talent Development and Performance Management,1,4,
BMA5424,Corporate Entrepreneurship and Business Model Evaluation,2,4,
BMA5428,Strategic Foresight,2,4,
BMA5430,Judgment and Decision Making Under Uncertainty,3,4,
BMA5431,AI for Talent Management and Organizational Design,1,4,
BMA5432,Managing People with Data,2,4,
BMA5432A,Topic in Managing People with Data,2,2,
BMA5505,Service Management,1,4,
BMA5506,Product & Brand Management,3,4,
BMA5528,Business to Business Marketing,2,4,
BMA5531,Sales Management,1,4,
BMA5533,Digital Marketing,4,4,
BMA5538,Distribution Management: Channels and Platforms,1,4,
BMA5539,Social Purpose Marketing,1,4,
BMA5701,Independent Study Course,1,4,
BMA5801,Launch Your Transformation,1,4,
BMA5803,C-Suite Life,2,4,
BMA5804,Solutions Delivery,1,2,
BMA5805,Structured Thinking and Issue-Based Problem Solving,1,2,
BMA5901,MBA Consulting Project,"1,2",4,
BMA5902,Entrepreneurship Practicum,1,4,
BMA5903,MBA Internship,"1,2",4,
BMA5905,Entrepreneurship Practicum in Healthcare Innovation,1,4,
BMC5021,"Leadership: exploration, assessment & development","2,3",4,
BMC5022,Strategy,"1,2",4,
BMC5023,Business analytics and decision making,1,4,
BMC5024,Asia and global economy,1,4,
BMC5026,Marketing strategy,1,4,
BMC5027,Accounting and information management,"1,2",4,
BMC5029,"Value chains, logistics and operations",3,4,
BMC5030,Governance and sustainable business,"1,2",4,
BMC5031,"Technology, innovation and entrepreneurship",1,4,
BMC5034,Special topics 1: Technology and business frontiers,"1,2",4,
BMC5036,Corporate finance,2,4,
BMC5038,Managing organizations and change,"1,2",4,
BMC5118,Winning Strategy for Emerging Asia,2,2,
BMC5125,International business and internationalisation,3,4,
BMC5203,Corporate Innovation in Big Data and AI Era,2,2,
BMC5305,Sustainable and Green Finance in Asia,2,2,
BMC5337,Financial Management and Markets,3,4,
BMC5411,Negotiation Strategies and Skills,2,2,
BMC5415,Managing Human Capital Today,2,2,
BMC5501,Service Management,2,2,
BMC5601,Accounting for Global Business,2,2,
BMC5707,Real Estate Finance and Securitization,2,2,
BMC5813,Methodology and Practice,2,2,
BMC5815,Singapore Governance's Success,2,2,
BMD5301,Introduction to Finance for FinTech Professionals,1,4,
BMD5302,Financial Modelling for FinTech Professionals,2,4,
BME5040,Business Analytics and Decision Making,3,4,
BME5041,"Value Chains, Logistics and Operations",2,4,
BME5042,Accounting and Information Management,1,4,
BME5043,Financial Management,"1,3",4,
BME5044,"Communications, Influence and Negotiations",1,4,
BME5045,"Leadership: Exploration, Assessment & Development","1,3",4,
BME5046,Managing Organisations,1,4,
BME5049,Marketing Strategy,3,4,
BME5050,Asia and the Global Economy,1,4,
BME5054,Strategy,2,4,
BME5056B,Special Topic 1B,1,2,
BME5058,Leadership in the Era of Disruption,3,4,
BME5101,Sustainability Reporting and ESG Investing,2,2,
BME5102,Winning Strategy in Asia,3,2,
BME5103,Asian Family Business,1,2,
BME5104,Emerging Tech and the Value of Data,1,2,
BME5105,International Business and Internationalization,3,4,
BME5106,ESG Strategies and Corporate Governance,3,4,
BME5107,Futures Thinking and Scenario Planning,"1,3",4,
BME5201,Leading with Analytics,1,2,
BME5301,Blockchain Applications in Finance,3,2,
BME5401,Future of Work,2,4,
BME5402,AI in HRM,2,2,
BMF5321,Financial Modelling,1,4,
BMF5322,Introduction to Finance,1,2,
BMF5323,Accounting for Finance Professionals,1,2,
BMF5324,Statistics and Analytics in Finance,1,4,
BMF5331,Applied Corporate Finance,2,4,BMF5322
BMF5332,Foundation of Investments,2,4,BMF5322
BMF5333,Options and Fixed Income,2,4,BMF5322
BMF5334,International Finance and Economics,2,4,BMF5322
BMF5342,Financial Technology and Analytics,1,4,BMF5322
BMF5343,Banks and Non-Traditional Financial Intermediaries,1,4,
BMF5344,Financial Statement Analysis and Value Investing,1,4,"{'nOf': [2, ['BMF5322', 'BMF5323']]}"
BMF5346,Venture Capital and Private Equity,1,4,
BMF5351,Household Finance,1,4,"{'nOf': [2, ['BMF5322', 'BMF5332']]}"
BMF5353,Applied Investment Strategies,1,4,BMF5332
BMF5354,Financial Regulation in a Digital Age,1,4,
BMF5355,Financial Systems and Technologies,1,4,
BMF5356,Applied Financial Risk Management,1,4,"{'and': ['BMF5332', 'BMF5333']}"
BMF5357,Sustainable Investment,1,4,"{'or': ['BMF5331', 'BMF5332']}"
BMF5358,Fintech Venture Creation,1,4,BMF5324
BMF5359,Valuation and Mergers & Acquisitions,1,4,BMF5322
BMF5360,Applied Machine Learning in Investments,1,4,"{'and': ['BMF5324', 'BMF5332']}"
BMF5361,Essential Market Tools in Finance,1,2,
BMF5362,Sustainability Risk Management,1,4,
BMF5391A,Experiential Learning: Individual Internship,"1,2,3,4",2,
BMF5391B,Experiential Learning: Corporate Consultancy Project,"1,3,4",2,
BMF5391C,Experiential Learning: Applied Faculty Project,"1,2,3,4",2,
BMF5393A,Experiential Learning: Advanced Individual Internship,"1,2",2,
BMG5101,Foundational Corporate Finance,1,4,
BMG5102,Foundational Investments,1,4,
BMG5103,Corporate Governance and Sustainability,2,4,
BMG5104,Economics of Sustainability,1,4,
BMG5201,Impact Assessment and Impact Investing,2,4,
BMG5202,Sustainable and Green Investment,2,4,"{'nOf': [2, ['BMG5101', 'BMG5102']]}"
BMG5203,Sustainability Risk Management,2,4,
BMG5204,Sustainable Household Finance,1,4,
BMG5205,Carbon Accounting and Sustainability Reporting,2,4,
BMG5206,Sustainability in Supply Chain,2,4,
BMG5301,Sustainable and Green Capstone Project A,2,2,
BMG5302,Sustainable and Green Capstone Project B,"3,4",6,
BMH5101,Quantitative Methods for HR,2,4,
BMH5102,Talent Assessment & Selection,1,4,
BMH5103,People Analytics,2,4,
BMH5104,Artificial Intelligence for HR,"1,2",4,
BMH5105,Communication for HR Professionals,2,2,
BMH5106,HR Technology,2,2,
BMH5107,Leading and Managing Difficult Employees,1,2,
BMH5108,Labour and Employment Law,"1,4",2,
BMH5109,Talent Management,2,4,
BMH5110,Compensation and Performance Management,1,4,
BMH5111,HR as Strategic Partner for Growth & Transformation,1,2,
BMH5112,Negotiation & Dispute Resolution,2,4,
BMH5113,Ethics in Human Resources,1,2,
BMH5301,Experiential Learning: Individual Internship,"3,4",4,
BMH5302,Experiential Learning: Faculty Research Project,"3,4",4,
BMI5101,Advanced Biomedical Informatics,1,4,
BMI5102,Health Sciences for Non-Clinicians,1,4,
BMI5106,Clinical Decision Support Systems,2,4,
BMI5107,Advanced Evidence Based Patient Care,2,4,
BMI5108,Advanced Value Based Healthcare,1,4,
BMI5109,Advanced Scientific Research Methods,2,4,
BMI5110,Molecular Informatics,2,4,
BMI5111,Capstone Project,"1,2",4,
BMI5201,Advanced Clinical Data Systems,2,4,
BMI5206,Advanced Human Factors Engineering,2,4,
BMI5207,Medical Data and Data Processing,1,4,
BMI5306,Advanced Agile Project Management,1,4,
BMK5100,Marketing Analytics,1,4,
BMK5101,Digital Marketing,1,4,
BMK5102,Big Data in Marketing,1,4,
BMK5103,Consumer Insights,2,4,
BMK5104,Marketing Analytics Visualisation and Communications,2,4,
BMK5201,Customer Relationship Management,2,4,
BMK5202,Python Programming for Business Analytics,"1,2",4,
BMK5203,Research for Marketing Insights,1,4,
BMK5204,Marketing Strategy,1,4,
BMK5206A,Personal Selling & Sales Management,2,4,
BMK5207,AI in Marketing,2,4,
BMK5209,Product and Brand Management,1,4,
BMK5300A,Experiential Learning: Industry Internship,"1,2,3,4",4,
BMK5300D,Marketing Venture Challenge,1,4,
BMK6111U,Analytical Methods in Marketing,1,2,
BMK6111V,Behavioral Marketing,2,2,
BMO6010A,Organizational Behavior Seminar: Leadership,1,2,
BMO6011A,"Organizational Behavior Seminar: Work, employee and organizational well-being",1,2,
BMO6023A,Seminar in Occupational Health and Stress,2,2,
BMO6028,Seminar in Positive Psychology,2,2,
BMP5000,JUMPSTART Programme,1,4,
BMP5100,Economic Analysis for Strategic Decisions,1,4,
BMP5101,Innovation Strategy,1,4,
BMP5102,Executing Strategy for Results,1,4,
BMP5103,Strategic Sustainability,1,4,
BMP5104,Managing Innovation for Stakeholder Value,1,4,
BMP5105,Strategy for an Interlinked World,2,4,
BMP5106,Strategy for High Performance in Digital Firms,2,4,
BMP5107,Business Model Innovation in Asia,2,4,
BMP5300,Business Project,"2,3",8,
BMS5107,Ethical Leadership and Corporate Strategy,1,4,
BMS5110,Managerial Economics,1,4,
BMS5112,Global Strategic Management,1,4,
BMS5114,Asian Business Environment,2,4,
BMS5117,Game Theory For Managers,1,4,
BMS5118,Competing Globally,"1,3",4,
BMS5120,Innovation and Strategies for Emerging Markets,2,4,
BMS5121S,Digital Transformation & Strategy,2,4,
BMS5122,Legal Fundamentals for Entrepreneurs and Managers,2,4,
BMS5123S,Entrepreneurship Business Development,1,4,
BMS5124,Entrepreneurial Management,2,4,
BMS5124S,Entrepreneurial Management,2,4,
BMS5125,Sustainability Strategy,2,4,
BMS5127,Management of Technological Innovation,2,4,
BMS5128,Entrepreneurship Green Venture Business Funding,2,4,
BMS5129,Applied Sustainability: A Systems Perspective,1,4,
BMS5205,Business Analytics,2,4,
BMS5209,Supply Chain Models and Strategies,1,4,
BMS5307,Financial Markets and Institutions,1,4,
BMS5311,Corporate Finance,2,4,
BMS5312,Fintech Management,2,4,
BMS5313,Empowering and Financing Positive Impact Creation,1,4,
BMS5405S,New Venture Creation,1,4,
BMS5408,Special Topics in Organizational Behavior,2,4,
BMS5410,Negotiation and Conflict Management,1,4,
BMS5412,Global Leadership,2,4,
BMS5413,Negotiations & Influence,2,4,
BMS5414,Human Resources Analytics,1,4,
BMS5415,Org 2.0: People Analytics for Organizations,2,4,
BMS5418,Corporate Entrepreneurship,1,4,
BMS5504,Marketing Analytics Visualisation and Communication,"1,3",4,
BMS5505,Digital Marketing,1,4,
BMS5506,Understanding & Influencing Consumers,2,4,
BMS5508,Design Thinking & Business Innovations,1,4,
BMS5515,Personal Selling and Sales Management,1,4,
BMS5516,Customer Centricity and Brand Alignment,2,4,
BMS5519,Services Marketing,2,4,
BMS5520,Research for Marketing Insights,1,4,
BMS5900,Block Seminar (with emphasis on Asian context),1,2,
BMS5900A,Sustainability Thinking in Product and Service Design,1,2,
BMS5901,Business Project,2,10,
BMT5100,Preparing Financial Statements,1,4,
BMT5101,Applied Data Science & Vizualization,1,4,
BMT5102,Corporate Valuation Models,1,4,
BMT5103,Managerial Planning and Control,1,4,
BMT5104,Corporate Accounting and Reporting,2,4,BMT5100:P
BMT5200,Analytics and Data Management,2,4,
BMT5201,Financial Statement Analysis,2,4,
BMT5202,Bank Compliance and Risk Management,2,4,
BMT5203,Mergers and Acquisitions,2,4,
BMT5301A,Experiential Learning: Individual Internship,"1,3,4",4,
BMT5301C,Experiential Learning: Applied Faculty Project,"1,3,4",4,
BMT5401B,Independent Study: Sustainability Accounting & Reporting,1,4,"{'and': ['BMT5100:P', 'BMT5104:P']}"
BMU5003,Economic Analysis For Managers,1,4,
BMU5004,Macroeconomics and International Finance,3,4,
BMU5006,Marketing Strategy,2,4,
BMU5015,Competitive Strategy & Business Policy,1,4,
BN1111,Biomedical Engineering Principles and Practice I,1,4,
